Trial,Phrase,Condition,Experiment,Number,Quantifier,Group
1,One witness for the lawyers,Exp 1 pl  One,Exp1,pl,One,9
2,One author of the novels,Exp 1 pl  One,Exp1,pl,One,9
3,One gift for the babies,Exp 1 pl  One,Exp1,pl,One,9
4,One light above the tables,Exp 1 pl  One,Exp1,pl,One,9
5,One snapshot of the tourists,Exp 1 pl  One,Exp1,pl,One,9
6,One trap for the rats,Exp 1 pl  One,Exp1,pl,One,9
7,One warden at the fires,Exp 1 pl  One,Exp1,pl,One,9
8,One home of the cousins,Exp 1 pl  One,Exp1,pl,One,9
9,Every ruler of the cities,Exp 1 pl  Every,Exp1,pl,Every,9
10,Every actor in the films,Exp 1 pl  Every,Exp1,pl,Every,9
11,Every manual for the machines,Exp 1 pl  Every,Exp1,pl,Every,9
12,Every path around the lakes,Exp 1 pl  Every,Exp1,pl,Every,9
13,Every producer of the movies,Exp 1 pl  Every,Exp1,pl,Every,9
14,Every judge for the trials,Exp 1 pl  Every,Exp1,pl,Every,9
15,Every pupil in the competitions,Exp 1 pl  Every,Exp1,pl,Every,9
16,Every firefighter outside the buildings,Exp 1 pl  Every,Exp1,pl,Every,9
17,Each spectator at the  matches,Exp 1 pl  Each,Exp1,pl,Each,9
18,Each maid for the  clinics,Exp 1 pl  Each,Exp1,pl,Each,9
19,Each editor of the books,Exp 1 pl  Each,Exp1,pl,Each,9
20,Each demonstrator at the rallies,Exp 1 pl  Each,Exp1,pl,Each,9
21,Each photo of the girls,Exp 1 pl  Each,Exp1,pl,Each,9
22,Each letter from the lawyers,Exp 1 pl  Each,Exp1,pl,Each,9
23,Each check from the stockbrokers,Exp 1 pl  Each,Exp1,pl,Each,9
24,Each player in the commercials,Exp 1 pl  Each,Exp1,pl,Each,9
25,The door to one office  ,Exp 2 sg  One,Exp2,sg,One,9
26,The bridge to one island  ,Exp 2 sg  One,Exp2,sg,One,9
27,The entrance to one laboratory  ,Exp 2 sg  One,Exp2,sg,One,9
28,The recording from one singer  ,Exp 2 sg  One,Exp2,sg,One,9
29,The pamphlet from one agency  ,Exp 2 sg  One,Exp2,sg,One,9
30,The star of one musical  ,Exp 2 sg  One,Exp2,sg,One,9
31,The garden with one spike  ,Exp 2 sg  One,Exp2,sg,One,9
32,The leader of one group  ,Exp 2 sg  One,Exp2,sg,One,9
33,The superintendent of every school  ,Exp 2 sg  Every,Exp2,sg,Every,9
34,The office of every accountant  ,Exp 2 sg  Every,Exp2,sg,Every,9
35,The consultant for every firm  ,Exp 2 sg  Every,Exp2,sg,Every,9
36,The assistant for every lab  ,Exp 2 sg  Every,Exp2,sg,Every,9
37,The volunteer in every village  ,Exp 2 sg  Every,Exp2,sg,Every,9
38,The article by every writer  ,Exp 2 sg  Every,Exp2,sg,Every,9
39,The bill from every accountant  ,Exp 2 sg  Every,Exp2,sg,Every,9
40,The switch for every light  ,Exp 2 sg  Every,Exp2,sg,Every,9
41,The tour of each museum  ,Exp 2 sg  Each,Exp2,sg,Each,9
42,The sailor with each force  ,Exp 2 sg  Each,Exp2,sg,Each,9
43,The musician at each nightclub  ,Exp 2 sg  Each,Exp2,sg,Each,9
